chitietve,,,,
id_ve,id_datve,id_suat,id_ghe,gia_ve
105,43,269,162,140000
106,43,269,38,140000
107,43,269,5,140000
108,43,269,235,140000
109,44,151,68,110000
110,44,151,179,110000
111,44,151,36,110000
112,45,324,271,120000
113,45,324,5,120000
114,45,324,284,120000
115,46,276,140,140000
116,46,276,145,140000
117,47,703,259,100000
118,47,703,251,100000
119,47,703,129,100000
120,48,868,171,110000
121,49,331,288,110000
122,49,331,5,110000
123,49,331,58,110000
124,49,331,39,110000
125,50,757,66,100000
126,50,757,22,100000
127,50,757,158,100000
128,50,757,187,100000
129,51,1397,287,110000
130,51,1397,209,110000
131,51,1397,80,110000
132,52,845,211,110000
133,52,845,128,110000
134,52,845,137,110000
135,53,784,103,120000
136,53,784,236,120000
137,54,457,169,140000
138,54,457,143,140000
139,54,457,36,140000
140,54,457,180,140000
141,55,1099,92,100000
142,55,1099,299,100000
143,55,1099,136,100000
144,56,890,262,110000
145,56,890,60,110000
146,56,890,198,110000
147,56,890,296,110000
148,57,1452,187,100000
149,57,1452,221,100000
150,58,1277,260,120000
151,58,1277,159,120000
152,58,1277,210,120000
153,59,606,195,130000
154,59,606,90,130000
155,59,606,292,130000
156,59,606,155,130000
157,60,623,239,140000
158,60,623,227,140000
159,60,623,110,140000
160,61,348,48,110000
161,61,348,121,110000
162,61,348,159,110000
163,62,51,234,130000
164,63,399,205,100000
165,63,399,125,100000
166,63,399,76,100000
167,63,399,3,100000
168,64,361,26,130000
169,64,361,286,130000
170,64,361,128,130000
171,64,361,63,130000
172,65,1368,227,140000
173,65,1368,259,140000
174,65,1368,219,140000
175,66,1524,142,130000
176,66,1524,267,130000
177,67,563,121,120000
178,67,563,140,120000
179,67,563,172,120000
180,68,284,111,130000
181,68,284,33,130000
182,69,1112,216,140000
183,69,1112,200,140000
184,70,1568,181,120000
185,71,1103,250,120000
186,71,1103,113,120000
187,72,60,85,100000
188,72,60,240,100000
189,72,60,66,100000
190,72,60,274,100000
191,73,1156,70,120000
192,73,1156,237,120000
193,73,1156,94,120000
194,73,1156,26,120000
195,74,434,143,130000
196,74,434,216,130000
197,74,434,130,130000
198,74,434,42,130000
199,75,1105,21,100000
200,76,42,243,140000
201,76,42,59,140000
202,77,1433,59,120000
203,77,1433,84,120000
204,78,53,204,100000
205,78,53,102,100000
206,78,53,39,100000
207,78,53,125,100000
208,79,618,178,140000
209,80,759,7,100000
210,80,759,216,100000
211,80,759,251,100000
212,81,1302,223,140000
213,81,1302,91,140000
214,82,1262,239,110000
215,82,1262,224,110000
216,82,1262,138,110000
217,82,1262,166,110000
218,83,924,173,110000
219,83,924,15,110000
220,83,924,254,110000
221,83,924,167,110000
222,84,727,142,140000
223,84,727,285,140000
224,84,727,6,140000
225,85,495,244,130000
226,85,495,252,130000
227,86,603,157,120000
228,86,603,298,120000
229,87,1088,181,120000
230,87,1088,233,120000
231,87,1088,139,120000
232,88,248,275,110000
233,89,1513,52,110000
234,89,1513,100,110000
235,89,1513,152,110000
236,90,620,141,100000
237,90,620,24,100000
238,91,1429,7,140000
239,92,981,130,130000
240,93,821,78,110000
241,94,175,116,130000
242,94,175,268,130000
243,94,175,195,130000
244,94,175,231,130000
245,95,879,51,110000
246,96,542,89,100000
247,96,542,283,100000
248,97,837,150,120000
249,97,837,17,120000
250,97,837,119,120000
251,97,837,148,120000
252,98,146,218,140000
253,98,146,59,140000
254,99,306,31,110000
255,100,1534,64,120000
256,100,1534,240,120000
257,100,1534,156,120000
258,100,1534,207,120000
259,101,1012,222,120000
260,102,53,141,140000
261,103,1549,143,130000
262,103,1549,93,130000
263,103,1549,300,130000
264,103,1549,224,130000
265,104,713,83,120000
266,105,1015,233,100000
267,106,663,278,130000
268,107,385,227,140000
269,107,385,27,140000
270,107,385,105,140000
271,107,385,137,140000
272,108,898,123,110000
273,109,29,59,100000
274,109,29,237,100000
275,110,1021,213,110000
276,110,1021,248,110000
277,110,1021,242,110000
278,111,297,36,130000
279,111,297,142,130000
280,112,548,297,130000
281,112,548,251,130000
282,112,548,77,130000
283,113,707,234,140000
284,113,707,165,140000
285,113,707,97,140000
286,113,707,123,140000
287,114,1589,196,100000
288,114,1589,198,100000
289,114,1589,78,100000
290,114,1589,254,100000
291,115,1209,52,110000
292,115,1209,270,110000
293,115,1209,234,110000
294,115,1209,8,110000
295,116,317,204,140000
296,116,317,42,140000
297,116,317,169,140000
298,117,1284,36,110000
299,118,589,51,120000
300,118,589,52,120000
301,118,589,228,120000
302,118,589,86,120000
303,119,665,192,110000
304,119,665,221,110000
305,119,665,75,110000
306,120,1160,90,140000
307,120,1160,41,140000
308,121,1400,119,120000
309,121,1400,237,120000
310,122,1366,280,130000
311,122,1366,81,130000
312,122,1366,38,130000
313,123,613,234,130000
314,123,613,155,130000
315,123,613,102,130000
316,124,486,152,120000
317,124,486,12,120000
318,124,486,203,120000
319,125,1405,147,110000
320,125,1405,118,110000
321,125,1405,181,110000
322,125,1405,113,110000
323,126,1389,50,120000
324,126,1389,21,120000
325,127,1187,152,120000
326,128,360,272,110000
327,128,360,257,110000
328,128,360,140,110000
329,129,605,240,100000
330,130,463,286,100000
331,130,463,188,100000
332,130,463,47,100000
333,130,463,203,100000
334,131,254,300,100000
335,131,254,196,100000
336,131,254,191,100000
337,132,966,114,120000
338,132,966,33,120000
339,132,966,238,120000
340,133,239,253,110000
341,133,239,60,110000
342,133,239,50,110000
343,134,796,80,140000
344,134,796,213,140000
345,134,796,51,140000
346,134,796,251,140000
347,135,68,228,120000
348,135,68,121,120000
349,135,68,186,120000
350,135,68,51,120000
351,136,735,63,100000
352,136,735,233,100000
353,137,1315,171,110000
354,138,421,111,120000
355,138,421,120,120000
356,139,6,277,110000
357,139,6,129,110000
358,140,53,170,110000
359,140,53,9,110000
360,141,260,33,130000
361,142,742,258,120000
362,142,742,114,120000
363,142,742,23,120000
364,142,742,267,120000
365,143,64,56,100000
366,143,64,252,100000
367,143,64,228,100000
368,143,64,38,100000
369,144,304,196,130000
370,144,304,272,130000
371,144,304,151,130000
372,145,882,283,110000
373,146,468,213,120000
374,146,468,49,120000
375,146,468,161,120000
376,146,468,219,120000
377,147,767,47,100000
378,148,198,285,140000
379,148,198,31,140000
380,149,676,217,140000
381,149,676,27,140000
382,149,676,148,140000
383,150,213,247,100000
384,150,213,115,100000
385,151,753,220,140000
386,151,753,288,140000
387,152,1317,15,120000
388,152,1317,93,120000
389,152,1317,140,120000
390,153,13,36,140000
391,153,13,73,140000
392,153,13,16,140000
393,153,13,47,140000
394,154,860,160,140000
395,154,860,167,140000
396,154,860,291,140000
397,155,319,42,120000
398,156,869,140,120000
399,156,869,111,120000
400,156,869,263,120000
401,156,869,59,120000
402,157,581,270,130000
403,157,581,158,130000
404,157,581,24,130000
405,157,581,113,130000
406,158,16,131,120000
407,158,16,149,120000
408,159,1019,195,110000
409,159,1019,273,110000
